Start date,End date,Partner,Speaker / Participant / Organiser,Type of activity,"Activity name (event, publication, tutorial, news article, etc.)",Status,Location (city),Location (country),Audience size,Evidence,Notes
28/04/2025,28/04/2025,GFF,Barbara/Andrea,Training event,FAIR Awareness: FAIR Data Stewardship,Ongoing,Online,Online,??,???,
29/04/2025,29/04/2025,SEI,Rosie Witton (on behalf of Sukaina Bharwani),Conference,"EGU 2025: Visualizing a climate and disaster resilience taxonomy from research evidence: scaling and accelerating knowledge interoperability
",Ongoing,Vienna,Austria,,https://doi.org/10.5194/egusphere-egu25-18822  ,
30/04/2025,30/04/2025,NERSC,Yanchun He,Conference,EGU2025: Estimated Transport of Atlantic Water to the Arctic Ocean Using Observed and Simulated Radionuclides,Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-13327 ,
30/04/2025,30/04/2025,PSNC,Adam Rynkiewicz/Raul Palma,Conference,EGU2025: Building an EOSC based virtual research environment to support the adoption of FAIR and Open Science practices in Climate Change Adaptation communities (talk),Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-19699,
30/04/2025,30/04/2025,Expert.ai,José Manuel Gómez-Pérez,Conference,ESSI3.2 - One decade of FAIR Principles:  Data Reusability and Impact in Earth System Sciences,Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-20123,
30/04/2025,30/04/2025,TIB,Lauren Snyder,Conference,EGU 2025: Escaping from the 1600s: Advancing FAIR scientific knowledge with reborn articles,Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-4203 ,
30/04/2025,30/04/2025,UHAM,Jana Sillmann,Conference,EGU 2025: Climate Extremes and Risk: Connecting Climate Science and Decision-Making via Interdisciplinary Approaches Focusing on Climate Impacts,Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-9881 ,Not FAIR2Adapt?
30/04/2025,30/04/2025,UHAM,Malte von Szombathely,Conference,EGU 2025: Hamburg Pluvial Flood Risk Map,Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-13534 ,Not FAIR2Adapt?
01/05/2025,01/05/2025,IFREMER,"Tina Odaka, Anne Fouilloux","Training event, Conference",EGU 2025: Short Course: Harnessing the Power of Pangeo: Enhancing Your Scientific Data Analysis Workflow with scalable open source tools,Ongoing,Vienna,Austria,??,"https://meetingorganizer.copernicus.org/EGU25/session/53638 , https://github.com/pangeo-data/egu-2025-course  ",
02/05/2025,02/05/2025,IFREMER,"Tina Odaka, Anne Fouilloux",Conference,"EGU2025: Seamless transitioning between HPC and cloud in support of Earth Observation, Earth Modeling and community-driven Geoscience approach PANGEO (session convener)",Ongoing,Vienna,Austria,??,https://meetingorganizer.copernicus.org/EGU25/session/52079,
02/05/2025,02/05/2025,SRL,Anne Fouilloux,Conference,EGU2025: Climate Modeling with Conda and Containers to Improve Computational Resource Usage while Achieving Native Performance and Reproducibility (poster),Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-2605 ,
06/05/2025,06/05/2025,GFF,Barbara/Erik,Training event,FIP: FAIR Implementation Profile,Ongoing,Online,Online,??,???,
08/05/2025,08/05/2025,GFF,Erik/Andrea,Training event,M4M: Metadata,Ongoing,Online,Online,??,???,
12/05/2025,12/05/2025,GFF,Barbara/Erik,Training event,FIP: FAIR Enabling Resources,Ongoing,Online,Online,??,???,
13/05/2025,13/05/2025,GFF,Barbara/Gerhard,Training event,M4M: FAIR Metadata,Ongoing,Online,Online,??,???,
20/05/2025,20/05/2025,GFF,Gerhard/Andrea,Training event,FIP: Nanopublications,Ongoing,Online,Online,??,???,
22/05/2025,22/05/2025,GFF,Barbara/Andrea,Training event,M4M: Metadata standards,Ongoing,Online,Online,??,???,
27/05/2025,27/05/2025,GFF,Gerhard/Barbara,Training event,FIP: Curation,Ongoing,Online,Online,??,???,
28/05/2025,28/05/2025,GFF,Barbara/Gerhard,Training event,M4M: CEDAR,Ongoing,Online,Online,??,???,
03/06/2025,03/06/2025,GFF,Tobias/Barbara,Training event,M4M: Nanopublication templates,Ongoing,Online,Online,??,???,
05/06/2025,05/06/2025,GFF,Erik/Andrea,Training event,FIP: Convergence,Ongoing,Online,Online,??,???,
10/06/2025,10/06/2025,GFF,Marek/Barbara,Training event,M4M: DSW Template,Ongoing,Online,Online,??,???,
16/06/2025,18/06/2025,FC.ID,Ines/Tiago/Francisca,"Conference, Workshop",7th EUROPEAN CLIMATE CHANGE ADAPTATION CONFERENCE (ECCA2025),Ongoing,Rimini,Italy,??,???,"Session proposal ""FAIR data and Open Science in support of climate change adaptation"" has been accepted. This session is organised in collaboration with our sibling project CLIMATE-ADAPT4EOSC"
19/06/2025,19/06/2025,GFF,Barbara/Gerhard,Training event,M4M: DTR Template,Ongoing,Online,Online,??,???,
23/06/2025,27/06/2025,GFF,Barbara Magagna,Conference,LPS25: Leveraging FAIR Digital Objects for Climate Change Adaptation: Building on Observation Frameworks ,Ongoing,Vienna,Austria,??,???,
24/06/2025,24/06/2025,GFF,Barbara/Andrea,Training event,M4M: Mappings,Ongoing,Online,Online,??,???,
